LipidClass,Lipid_Name,mz,EmpiricalFormula
AsHC,AsHC526,527.41731107,NA
AsHC,AsHC540,541.43296114,NA
AsHC,AsHC300,301.15125988,NA
AsHC,AsHC314,315.16690995,NA
AsHC,AsHC328,329.18256002,NA
AsHC,AsHC342,343.19821009,NA
AsHC,AsHC356,357.21386016,NA
AsHC,AsHC370,371.22951023,NA
AsHC,AsHC384,385.2451603,NA
AsHC,AsHC398,399.26081037,NA
AsHC,AsHC412,413.27646044,NA
AsHC,AsHC426,427.29211051,NA
AsHC,AsHC440,441.30776058,NA
AsHC,AsHC454,455.32341065,NA
AsHC,AsHC468,469.33906072,NA
AsHC,AsHC482,483.35471079,NA
AsHC,AsHC496,497.37036086,NA
AsHC,AsHC510,511.38601093,NA
AsHC,AsHC524,525.401661,NA
AsHC,AsHC538,539.41731107,NA
AsHC,AsHC298,299.13560981,NA
AsHC,AsHC312,313.15125988,NA
AsHC,AsHC326,327.16690995,NA
AsHC,AsHC340,341.18256002,NA
AsHC,AsHC354,355.19821009,NA
AsHC,AsHC368,369.21386016,NA
AsHC,AsHC382,383.22951023,NA
AsHC,AsHC396,397.2451603,NA
AsHC,AsHC410,411.26081037,NA
AsHC,AsHC424,425.27646044,NA
AsHC,AsHC438,439.29211051,NA
AsHC,AsHC452,453.30776058,NA
AsHC,AsHC466,467.32341065,NA
AsHC,AsHC480,481.33906072,NA
AsHC,AsHC494,495.35471079,NA
AsHC,AsHC508,509.37036086,NA
AsHC,AsHC522,523.38601093,NA
AsHC,AsHC536,537.401661,NA
AsHC,AsHC296,297.11995974,NA
AsHC,AsHC310,311.13560981,NA
AsHC,AsHC324,325.15125988,NA
AsHC,AsHC338,339.16690995,NA
AsHC,AsHC352,353.18256002,NA
AsHC,AsHC366,367.19821009,NA
AsHC,AsHC380,381.21386016,NA
AsHC,AsHC394,395.22951023,NA
AsHC,AsHC408,409.2451603,NA
AsHC,AsHC422,423.26081037,NA
AsHC,AsHC436,437.27646044,NA
AsHC,AsHC450,451.29211051,NA
AsHC,AsHC464,465.30776058,NA
AsHC,AsHC478,479.32341065,NA
AsHC,AsHC492,493.33906072,NA
AsHC,AsHC506,507.35471079,NA
AsHC,AsHC520,521.37036086,NA
AsHC,AsHC534,535.38601093,NA
AsHC,AsHC294,295.10430967,NA
AsHC,AsHC308,309.11995974,NA
AsHC,AsHC322,323.13560981,NA
AsHC,AsHC336,337.15125988,NA
AsHC,AsHC350,351.16690995,NA
AsHC,AsHC364,365.18256002,NA
AsHC,AsHC378,379.19821009,NA
AsHC,AsHC392,393.21386016,NA
AsHC,AsHC406,407.22951023,NA
AsHC,AsHC420,421.2451603,NA
AsHC,AsHC434,435.26081037,NA
AsHC,AsHC448,449.27646044,NA
AsHC,AsHC462,463.29211051,NA
AsHC,AsHC476,477.30776058,NA
AsHC,AsHC490,491.32341065,NA
AsHC,AsHC504,505.33906072,NA
AsHC,AsHC518,519.35471079,NA
AsHC,AsHC532,533.37036086,NA
AsHC,AsHC292,293.0886596,NA
AsHC,AsHC306,307.10430967,NA
AsHC,AsHC320,321.11995974,NA
AsHC,AsHC334,335.13560981,NA
AsHC,AsHC348,349.15125988,NA
AsHC,AsHC362,363.16690995,NA
AsHC,AsHC376,377.18256002,NA
AsHC,AsHC390,391.19821009,NA
AsHC,AsHC404,405.21386016,NA
AsHC,AsHC418,419.22951023,NA
AsHC,AsHC432,433.2451603,NA
AsHC,AsHC446,447.26081037,NA
AsHC,AsHC460,461.27646044,NA
AsHC,AsHC474,475.29211051,NA
AsHC,AsHC488,489.30776058,NA
AsHC,AsHC502,503.32341065,NA
AsHC,AsHC516,517.33906072,NA
AsHC,AsHC530,531.35471079,NA
AsIsop,AsIsop546,547.33436931,C28H55AsO5
AsIsop,AsIsop422,423.20916875,C19H39AsO5
AsIsop,AsIsop408,409.19351868,C18H37AsO5
TMAsFOH,TMAsFOH374,375.26081037,C20H44OAs
TMAsFOH,TMAsFOH418,419.22951023,C24H40OAs
