scan,element,sampleID,intenstiy,time,samplerun
1,75As,Smp_191209_8,110.000484,0.92212,2020_09_01_KRH_AsTotal_1c.csv
1,75As,blank_10,186.6680605,0.92213,2020_09_01_KRH_AsTotal_1c.csv
1,75As,Smp_191209_9,130.000676,0.92207,2020_09_01_KRH_AsTotal_1c.csv
1,75As,Smp_191209_10,110.000484,0.92207,2020_09_01_KRH_AsTotal_1c.csv
1,75As,Smp_191209_11,133.3340444,0.92216,2020_09_01_KRH_AsTotal_1c.csv
1,75As,Smp_191209_12,133.3340444,0.9221,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank,203.3349871,1.5424,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_1,126.6673084,1.54232,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_2,120.000576,1.54234,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_3,126.6673084,1.54228,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_0nM,116.6672111,1.54237,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_0.05nM,276.6697285,1.54222,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_0.1nM,263.3361071,1.54222,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_4,153.3342738,1.54231,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_5,133.3340444,1.54224,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_0nM_1,163.3344005,1.54228,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_0.05nM_1,126.6673084,1.54227,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_0.1nM_1,143.3341551,1.54227,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_1nM,76.66690178,1.54231,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_10nM,113.3338471,1.54229,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_100nM,126.6673084,1.54224,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Std_1uM,126.6673084,1.54227,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_6,143.3341551,1.54226,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_7,110.000484,1.54231,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_8,96.66704045,1.54228,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_1,133.3340444,1.54228,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_2,206.6683751,1.54228,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_3,120.000576,1.54226,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_4,130.000676,1.5423,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_9,113.3338471,1.54237,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_5,110.000484,1.54229,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_6,136.6674138,1.54231,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_7,116.6672111,1.54234,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_8,86.66696711,1.54229,2020_09_01_KRH_AsTotal_1c.csv
2,75As,blank_10,153.3342738,1.54228,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_9,133.3340444,1.54222,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_10,103.3337604,1.54227,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_11,103.3337604,1.54228,2020_09_01_KRH_AsTotal_1c.csv
2,75As,Smp_191209_12,86.66696711,1.54227,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank,130.000676,2.16258,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_1,120.000576,2.16249,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_2,83.33361111,2.16255,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_3,130.000676,2.16245,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_0nM,120.000576,2.16254,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_0.05nM,330.0043561,2.16241,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_0.1nM,243.3357018,2.16239,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_4,130.000676,2.16255,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_5,183.3346778,2.16247,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_0nM_1,106.6671218,2.16245,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_0.05nM_1,133.3340444,2.16242,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_0.1nM_1,153.3342738,2.16238,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_1nM,126.6673084,2.16249,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_10nM,136.6674138,2.16246,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_100nM,130.000676,2.16247,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Std_1uM,146.6675271,2.16243,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_6,136.6674138,2.16245,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_7,146.6675271,2.16245,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_8,160.001024,2.16243,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_1,110.000484,2.16249,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_2,103.3337604,2.16243,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_3,116.6672111,2.16245,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_4,143.3341551,2.16254,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_9,106.6671218,2.16262,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_5,86.66696711,2.16247,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_6,76.66690178,2.16251,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_7,120.000576,2.16251,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_8,76.66690178,2.16244,2020_09_01_KRH_AsTotal_1c.csv
3,75As,blank_10,133.3340444,2.16244,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_9,96.66704045,2.16242,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_10,83.33361111,2.16238,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_11,120.000576,2.16253,2020_09_01_KRH_AsTotal_1c.csv
3,75As,Smp_191209_12,133.3340444,2.16243,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank,113.3338471,2.78273,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_1,136.6674138,2.78264,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_2,120.000576,2.7827,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_3,173.3345351,2.78262,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_0nM,130.000676,2.7827,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_0.05nM,260.002704,2.78251,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_0.1nM,296.6701872,2.78264,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_4,173.3345351,2.78269,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_5,120.000576,2.78264,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_0nM_1,150.0009,2.78262,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_0.05nM_1,126.6673084,2.78267,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_0.1nM_1,130.000676,2.78257,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_1nM,140.000784,2.78271,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_10nM,133.3340444,2.78266,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_100nM,176.6679151,2.78261,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Std_1uM,163.3344005,2.78266,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_6,103.3337604,2.78262,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_7,130.000676,2.78263,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_8,146.6675271,2.78263,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_1,143.3341551,2.78265,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_2,136.6674138,2.78263,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_3,113.3338471,2.78257,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_4,113.3338471,2.78264,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_9,120.000576,2.78278,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_5,90.000324,2.78267,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_6,123.3339418,2.78264,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_7,140.000784,2.78271,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_8,126.6673084,2.78263,2020_09_01_KRH_AsTotal_1c.csv
4,75As,blank_10,120.000576,2.78255,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_9,83.33361111,2.78267,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_10,106.6671218,2.7825,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_11,130.000676,2.78268,2020_09_01_KRH_AsTotal_1c.csv
4,75As,Smp_191209_12,113.3338471,2.78255,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank,120.000576,3.40291,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_1,153.3342738,3.40284,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_2,116.6672111,3.40289,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_3,136.6674138,3.4028,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_0nM,160.001024,3.40292,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_0.05nM,203.3349871,3.40275,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_0.1nM,293.3367752,3.40281,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_4,146.6675271,3.40288,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_5,103.3337604,3.40278,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_0nM_1,130.000676,3.40281,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_0.05nM_1,130.000676,3.40283,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_0.1nM_1,130.000676,3.40272,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_1nM,120.000576,3.40285,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_10nM,136.6674138,3.40277,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_100nM,110.000484,3.40277,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Std_1uM,106.6671218,3.4028,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_6,90.000324,3.40282,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_7,166.6677778,3.40275,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_8,136.6674138,3.40278,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_1,116.6672111,3.40285,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_2,86.66696711,3.40276,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_3,90.000324,3.40276,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_4,143.3341551,3.40277,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_9,123.3339418,3.40297,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_5,106.6671218,3.40281,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_6,126.6673084,3.40288,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_7,113.3338471,3.40285,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_8,110.000484,3.40279,2020_09_01_KRH_AsTotal_1c.csv
5,75As,blank_10,123.3339418,3.40279,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_9,103.3337604,3.40284,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_10,106.6671218,3.40268,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_11,116.6672111,3.40285,2020_09_01_KRH_AsTotal_1c.csv
5,75As,Smp_191209_12,130.000676,3.4027,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank,113.3338471,4.02307,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_1,143.3341551,4.02295,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_2,96.66704045,4.02307,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_3,130.000676,4.0229799999999996,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_0nM,133.3340444,4.02308,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_0.05nM,223.3353285,4.02294,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_0.1nM,283.3365445,4.023,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_4,110.000484,4.02305,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_5,106.6671218,4.02301,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_0nM_1,120.000576,4.02299,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_0.05nM_1,136.6674138,4.02295,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_0.1nM_1,136.6674138,4.0229,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_1nM,96.66704045,4.02307,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_10nM,163.3344005,4.02293,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_100nM,126.6673084,4.02288,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Std_1uM,166.6677778,4.02297,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_6,93.33368178,4.02301,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_7,156.6676485,4.02297,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_8,140.000784,4.02296,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_1,133.3340444,4.02297,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_2,100.0004,4.02295,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_3,140.000784,4.02287,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_4,206.6683751,4.0229799999999996,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_9,130.000676,4.02307,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_5,90.000324,4.02304,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_6,126.6673084,4.02305,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_7,70.000196,4.02303,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_8,103.3337604,4.02297,2020_09_01_KRH_AsTotal_1c.csv
6,75As,blank_10,106.6671218,4.02294,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_9,116.6672111,4.023,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_10,150.0009,4.0228,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_11,73.33354845,4.0229799999999996,2020_09_01_KRH_AsTotal_1c.csv
6,75As,Smp_191209_12,66.66684444,4.02288,2020_09_01_KRH_AsTotal_1c.csv
7,75As,blank,136.6674138,4.64326,2020_09_01_KRH_AsTotal_1c.csv
7,75As,blank_1,126.6673084,4.64306,2020_09_01_KRH_AsTotal_1c.csv
7,75As,blank_2,113.3338471,4.64332,2020_09_01_KRH_AsTotal_1c.csv
7,75As,blank_3,140.000784,4.64314,2020_09_01_KRH_AsTotal_1c.csv
7,75As,Std_0nM,136.6674138,4.64323,2020_09_01_KRH_AsTotal_1c.csv
