scan,element,sampleID,intenstiy,time,samplerun
0,75As,Smp_191209_71,83.33361111,0.30196,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_72,103.3337604,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_73,123.3339418,0.30196,2020_09_01_KRH_AsTotal_5.csv
0,75As,blank3,110.000484,0.30197,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_74,106.6671218,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_75a,93.33368178,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_75b,116.6672111,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_76a,96.66704045,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,blank3_1,110.000484,0.30195,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_76b,70.000196,0.30195,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_77a,73.33354845,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_77b,93.33368178,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_78a,83.33361111,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,blank3_2,100.0004,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_78b,70.000196,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_79a,73.33354845,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_79b,83.33361111,0.30195,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_80a,70.000196,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Smp_191209_80b,110.000484,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,blank4,90.000324,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Std_0nM,83.33361111,0.30197,2020_09_01_KRH_AsTotal_5.csv
0,75As,Std_0.05nM,126.6673084,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Std_0.1nM,116.6672111,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Std_1nM,66.66684444,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,Std_10nM,126.6673084,0.30196,2020_09_01_KRH_AsTotal_5.csv
0,75As,Std_100nM,76.66690178,0.30196,2020_09_01_KRH_AsTotal_5.csv
0,75As,Std_1uM,120.000576,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,blank4_1,120.000576,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,blank4_2,76.66690178,0.30194,2020_09_01_KRH_AsTotal_5.csv
0,75As,blank4_3,126.6673084,0.30194,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_71,93.33368178,0.92218,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_72,103.3337604,0.92216,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_73,76.66690178,0.92211,2020_09_01_KRH_AsTotal_5.csv
1,75As,blank3,70.000196,0.9221,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_74,93.33368178,0.92207,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_75a,83.33361111,0.9221,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_75b,93.33368178,0.9221,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_76a,120.000576,0.9221,2020_09_01_KRH_AsTotal_5.csv
1,75As,blank3_1,66.66684444,0.92215,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_76b,86.66696711,0.92221,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_77a,100.0004,0.92209,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_77b,100.0004,0.92217,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_78a,83.33361111,0.9221,2020_09_01_KRH_AsTotal_5.csv
1,75As,blank3_2,90.000324,0.92215,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_78b,56.66679511,0.92211,2020_09_01_KRH_AsTotal_5.csv
1,75As,Smp_191209_79a,80.000256,0.92209,2020_09_01_KRH_AsTotal_5.csv
