scan,element,sampleID,intenstiy,time,samplerun
0,75As,blank,130.00067600351522,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_13,190.0014440109745,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_14,123.33394178077945,0.302,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_15,106.6671217797196,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_16,123.33394178077945,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,blank_1,130.00067600351522,0.30195,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_17,146.6675271161591,0.302,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_18a,123.33394178077945,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_18b,103.33376044620987,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_19,66.66684444491852,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,blank_2,76.6669017784988,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_20,96.66704044588973,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_21,103.33376044620987,0.302,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_22,116.66721111365187,0.30197,2020_09_01_KRH_AsTotal_2.csv
0,75As,blank_3,93.33368177907866,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_23,80.0002560008192,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_24,60.0001440003456,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_25,136.66741378186202,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,blank_4,110.00048400212961,0.30195,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_26,73.33354844507545,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_27,116.66721111365187,0.30199,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_28,93.33368177907866,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,Smp_191209_29,103.33376044620987,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,blank_5,110.00048400212961,0.30194,2020_09_01_KRH_AsTotal_2.csv
0,75As,X29,NA,NA,2020_09_01_KRH_AsTotal_2.csv
1,75As,blank,166.66777778518525,0.92218,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_13,76.6669017784988,0.92211,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_14,103.33376044620987,0.92219,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_15,123.33394178077945,0.92206,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_16,146.6675271161591,0.92205,2020_09_01_KRH_AsTotal_2.csv
1,75As,blank_1,86.66696711215266,0.9221,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_17,126.66730844769614,0.92214,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_18a,113.33384711344026,0.92217,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_18b,63.33349377818424,0.92213,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_19,60.0001440003456,0.92212,2020_09_01_KRH_AsTotal_2.csv
1,75As,blank_2,56.66679511140226,0.92219,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_20,73.33354844507545,0.92209,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_21,73.33354844507545,0.92223,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_22,90.0003240011664,0.92212,2020_09_01_KRH_AsTotal_2.csv
1,75As,blank_3,93.33368177907866,0.92211,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_23,113.33384711344026,0.92207,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_24,66.66684444491852,0.92215,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_25,103.33376044620987,0.92215,2020_09_01_KRH_AsTotal_2.csv
1,75As,blank_4,86.66696711215266,0.92215,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_26,56.66679511140226,0.92204,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_27,70.0001960005488,0.92223,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_28,96.66704044588973,0.92217,2020_09_01_KRH_AsTotal_2.csv
1,75As,Smp_191209_29,120.00057600276482,0.92216,2020_09_01_KRH_AsTotal_2.csv
1,75As,blank_5,50.0001000002,0.92217,2020_09_01_KRH_AsTotal_2.csv
1,75As,X29,NA,NA,2020_09_01_KRH_AsTotal_2.csv
2,75As,blank,120.00057600276482,1.54238,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_13,156.66764845059697,1.54232,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_14,90.0003240011664,1.54237,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_15,123.33394178077945,1.54225,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_16,130.00067600351522,1.54229,2020_09_01_KRH_AsTotal_2.csv
2,75As,blank_1,93.33368177907866,1.54228,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_17,80.0002560008192,1.54233,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_18a,153.33427378354588,1.54236,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_18b,46.66675377794039,1.54228,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_19,46.66675377794039,1.54226,2020_09_01_KRH_AsTotal_2.csv
2,75As,blank_2,93.33368177907866,1.54234,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_20,60.0001440003456,1.54224,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_21,83.33361111203705,1.54243,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_22,66.66684444491852,1.54231,2020_09_01_KRH_AsTotal_2.csv
2,75As,blank_3,66.66684444491852,1.54226,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_23,86.66696711215266,1.54224,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_24,63.33349377818424,1.54233,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_25,96.66704044588973,1.54231,2020_09_01_KRH_AsTotal_2.csv
2,75As,blank_4,73.33354844507545,1.54225,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_26,66.66684444491852,1.54225,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_27,106.6671217797196,1.54243,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_28,70.0001960005488,1.54234,2020_09_01_KRH_AsTotal_2.csv
2,75As,Smp_191209_29,66.66684444491852,1.54234,2020_09_01_KRH_AsTotal_2.csv
2,75As,blank_5,60.0001440003456,1.5423,2020_09_01_KRH_AsTotal_2.csv
2,75As,X29,NA,NA,2020_09_01_KRH_AsTotal_2.csv
3,75As,blank,143.33415511582268,2.16255,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_13,130.00067600351522,2.16246,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_14,86.66696711215266,2.16253,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_15,93.33368177907866,2.16235,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_16,110.00048400212961,2.16244,2020_09_01_KRH_AsTotal_2.csv
3,75As,blank_1,100.00040000160001,2.16241,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_17,113.33384711344026,2.16258,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_18a,96.66704044588973,2.16253,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_18b,93.33368177907866,2.16242,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_19,63.33349377818424,2.16246,2020_09_01_KRH_AsTotal_2.csv
3,75As,blank_2,76.6669017784988,2.16253,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_20,66.66684444491852,2.16243,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_21,66.66684444491852,2.16259,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_22,83.33361111203705,2.16248,2020_09_01_KRH_AsTotal_2.csv
3,75As,blank_3,53.33344711135384,2.16242,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_23,73.33354844507545,2.16239,2020_09_01_KRH_AsTotal_2.csv
3,75As,Smp_191209_24,76.6669017784988,2.16248,2020_09_01_KRH_AsTotal_2.csv
