Lipid Class (short),Lipid ID (ms1 only),SN1 tail length,SN2 tail length,SN1 saturation,SN2 saturation,Empirical Formula (in ionic state),m/z
AsSugPL,AsSugPL1136,24,20,4,5,AsO14PC59H98,1137.598839485
AsSugPL,AsSugPL938,10,20,5,5,AsO14PC45H68,939.364088435
AsSugPL,AsSugPL966,12,20,5,5,AsO14PC47H72,967.395388575
AsSugPL,AsSugPL994,14,20,5,5,AsO14PC49H76,995.426688715
AsSugPL,AsSugPL1022,16,20,5,5,AsO14PC51H80,1023.457988855
AsSugPL,AsSugPL1050,18,20,5,5,AsO14PC53H84,1051.489288995
AsSugPL,AsSugPL1078,20,20,5,5,AsO14PC55H88,1079.520589135
AsSugPL,AsSugPL1106,22,20,5,5,AsO14PC57H92,1107.551889275
AsSugPL,AsSugPL1134,24,20,5,5,AsO14PC59H96,1135.583189415
AsSugPL,AsSugPL936,10,20,6,5,AsO14PC45H66,937.348438365
AsSugPL,AsSugPL964,12,20,6,5,AsO14PC47H70,965.379738505
AsSugPL,AsSugPL992,14,20,6,5,AsO14PC49H74,993.411038645
AsSugPL,AsSugPL1020,16,20,6,5,AsO14PC51H78,1021.442338785
AsSugPL,AsSugPL1048,18,20,6,5,AsO14PC53H82,1049.473638925
AsSugPL,AsSugPL1076,20,20,6,5,AsO14PC55H86,1077.504939065
AsSugPL,AsSugPL1104,22,20,6,5,AsO14PC57H90,1105.536239205
AsSugPL,AsSugPL1132,24,20,6,5,AsO14PC59H94,1133.5675393449999
AsSugPL,AsSugPL976,10,22,0,5,AsO14PC47H82,977.473638925
AsSugPL,AsSugPL1004,12,22,0,5,AsO14PC49H86,1005.504939065
AsSugPL,AsSugPL1032,14,22,0,5,AsO14PC51H90,1033.536239205
AsSugPL,AsSugPL1060,16,22,0,5,AsO14PC53H94,1061.5675393449999
AsSugPL,AsSugPL1088,18,22,0,5,AsO14PC55H98,1089.598839485
AsSugPL,AsSugPL1116,20,22,0,5,AsO14PC57H102,1117.630139625
AsSugPL,AsSugPL1144,22,22,0,5,AsO14PC59H106,1145.661439765
AsSugPL,AsSugPL1172,24,22,0,5,AsO14PC61H110,1173.692739905
AsSugPL,AsSugPL974,10,22,1,5,AsO14PC47H80,975.457988855
AsSugPL,AsSugPL1002,12,22,1,5,AsO14PC49H84,1003.489288995
AsSugPL,AsSugPL1030,14,22,1,5,AsO14PC51H88,1031.520589135
AsSugPL,AsSugPL1058,16,22,1,5,AsO14PC53H92,1059.551889275
AsSugPL,AsSugPL1086,18,22,1,5,AsO14PC55H96,1087.583189415
AsSugPL,AsSugPL1114,20,22,1,5,AsO14PC57H100,1115.614489555
AsSugPL,AsSugPL1142,22,22,1,5,AsO14PC59H104,1143.645789695
AsSugPL,AsSugPL1170,24,22,1,5,AsO14PC61H108,1171.677089835
AsSugPL,AsSugPL972,10,22,2,5,AsO14PC47H78,973.442338785
AsSugPL,AsSugPL1000,12,22,2,5,AsO14PC49H82,1001.473638925
AsSugPL,AsSugPL1028,14,22,2,5,AsO14PC51H86,1029.504939065
AsSugPL,AsSugPL1056,16,22,2,5,AsO14PC53H90,1057.536239205
AsSugPL,AsSugPL1084,18,22,2,5,AsO14PC55H94,1085.5675393449999
AsSugPL,AsSugPL1112,20,22,2,5,AsO14PC57H98,1113.598839485
AsSugPL,AsSugPL1140,22,22,2,5,AsO14PC59H102,1141.630139625
AsSugPL,AsSugPL1168,24,22,2,5,AsO14PC61H106,1169.661439765
AsSugPL,AsSugPL970,10,22,3,5,AsO14PC47H76,971.426688715
AsSugPL,AsSugPL998,12,22,3,5,AsO14PC49H80,999.457988855
AsSugPL,AsSugPL1026,14,22,3,5,AsO14PC51H84,1027.489288995
AsSugPL,AsSugPL1054,16,22,3,5,AsO14PC53H88,1055.520589135
AsSugPL,AsSugPL1082,18,22,3,5,AsO14PC55H92,1083.551889275
AsSugPL,AsSugPL1110,20,22,3,5,AsO14PC57H96,1111.583189415
AsSugPL,AsSugPL1138,22,22,3,5,AsO14PC59H100,1139.614489555
AsSugPL,AsSugPL1166,24,22,3,5,AsO14PC61H104,1167.645789695
AsSugPL,AsSugPL968,10,22,4,5,AsO14PC47H74,969.411038645
AsSugPL,AsSugPL996,12,22,4,5,AsO14PC49H78,997.442338785
AsSugPL,AsSugPL1024,14,22,4,5,AsO14PC51H82,1025.473638925
AsSugPL,AsSugPL1052,16,22,4,5,AsO14PC53H86,1053.504939065
AsSugPL,AsSugPL1080,18,22,4,5,AsO14PC55H90,1081.536239205
AsSugPL,AsSugPL1108,20,22,4,5,AsO14PC57H94,1109.5675393449999
AsSugPL,AsSugPL1136,22,22,4,5,AsO14PC59H98,1137.598839485
AsSugPL,AsSugPL1164,24,22,4,5,AsO14PC61H102,1165.630139625
AsSugPL,AsSugPL966,10,22,5,5,AsO14PC47H72,967.395388575
AsSugPL,AsSugPL994,12,22,5,5,AsO14PC49H76,995.426688715
AsSugPL,AsSugPL1022,14,22,5,5,AsO14PC51H80,1023.457988855
AsSugPL,AsSugPL1050,16,22,5,5,AsO14PC53H84,1051.489288995
AsSugPL,AsSugPL1078,18,22,5,5,AsO14PC55H88,1079.520589135
AsSugPL,AsSugPL1106,20,22,5,5,AsO14PC57H92,1107.551889275
AsSugPL,AsSugPL1134,22,22,5,5,AsO14PC59H96,1135.583189415
AsSugPL,AsSugPL1162,24,22,5,5,AsO14PC61H100,1163.614489555
AsSugPL,AsSugPL964,10,22,6,5,AsO14PC47H70,965.379738505
AsSugPL,AsSugPL992,12,22,6,5,AsO14PC49H74,993.411038645
AsSugPL,AsSugPL1020,14,22,6,5,AsO14PC51H78,1021.442338785
AsSugPL,AsSugPL1048,16,22,6,5,AsO14PC53H82,1049.473638925
AsSugPL,AsSugPL1076,18,22,6,5,AsO14PC55H86,1077.504939065
AsSugPL,AsSugPL1104,20,22,6,5,AsO14PC57H90,1105.536239205
AsSugPL,AsSugPL1132,22,22,6,5,AsO14PC59H94,1133.5675393449999
AsSugPL,AsSugPL1160,24,22,6,5,AsO14PC61H98,1161.598839485
AsSugPL,AsSugPL1004,10,24,0,5,AsO14PC49H86,1005.504939065
AsSugPL,AsSugPL1032,12,24,0,5,AsO14PC51H90,1033.536239205
AsSugPL,AsSugPL1060,14,24,0,5,AsO14PC53H94,1061.5675393449999
AsSugPL,AsSugPL1088,16,24,0,5,AsO14PC55H98,1089.598839485
AsSugPL,AsSugPL1116,18,24,0,5,AsO14PC57H102,1117.630139625
AsSugPL,AsSugPL1144,20,24,0,5,AsO14PC59H106,1145.661439765
AsSugPL,AsSugPL1172,22,24,0,5,AsO14PC61H110,1173.692739905
AsSugPL,AsSugPL1200,24,24,0,5,AsO14PC63H114,1201.724040045
AsSugPL,AsSugPL1002,10,24,1,5,AsO14PC49H84,1003.489288995
AsSugPL,AsSugPL1030,12,24,1,5,AsO14PC51H88,1031.520589135
AsSugPL,AsSugPL1058,14,24,1,5,AsO14PC53H92,1059.551889275
AsSugPL,AsSugPL1086,16,24,1,5,AsO14PC55H96,1087.583189415
AsSugPL,AsSugPL1114,18,24,1,5,AsO14PC57H100,1115.614489555
AsSugPL,AsSugPL1142,20,24,1,5,AsO14PC59H104,1143.645789695
AsSugPL,AsSugPL1170,22,24,1,5,AsO14PC61H108,1171.677089835
AsSugPL,AsSugPL1198,24,24,1,5,AsO14PC63H112,1199.708389975
AsSugPL,AsSugPL1000,10,24,2,5,AsO14PC49H82,1001.473638925
AsSugPL,AsSugPL1028,12,24,2,5,AsO14PC51H86,1029.504939065
AsSugPL,AsSugPL1056,14,24,2,5,AsO14PC53H90,1057.536239205
AsSugPL,AsSugPL1084,16,24,2,5,AsO14PC55H94,1085.5675393449999
AsSugPL,AsSugPL1112,18,24,2,5,AsO14PC57H98,1113.598839485
AsSugPL,AsSugPL1140,20,24,2,5,AsO14PC59H102,1141.630139625
AsSugPL,AsSugPL1168,22,24,2,5,AsO14PC61H106,1169.661439765
AsSugPL,AsSugPL1196,24,24,2,5,AsO14PC63H110,1197.692739905
AsSugPL,AsSugPL998,10,24,3,5,AsO14PC49H80,999.457988855
AsSugPL,AsSugPL1026,12,24,3,5,AsO14PC51H84,1027.489288995
AsSugPL,AsSugPL1054,14,24,3,5,AsO14PC53H88,1055.520589135
AsSugPL,AsSugPL1082,16,24,3,5,AsO14PC55H92,1083.551889275
AsSugPL,AsSugPL1110,18,24,3,5,AsO14PC57H96,1111.583189415
AsSugPL,AsSugPL1138,20,24,3,5,AsO14PC59H100,1139.614489555
AsSugPL,AsSugPL1166,22,24,3,5,AsO14PC61H104,1167.645789695
AsSugPL,AsSugPL1194,24,24,3,5,AsO14PC63H108,1195.677089835
AsSugPL,AsSugPL996,10,24,4,5,AsO14PC49H78,997.442338785
AsSugPL,AsSugPL1024,12,24,4,5,AsO14PC51H82,1025.473638925
AsSugPL,AsSugPL1052,14,24,4,5,AsO14PC53H86,1053.504939065
AsSugPL,AsSugPL1080,16,24,4,5,AsO14PC55H90,1081.536239205
AsSugPL,AsSugPL1108,18,24,4,5,AsO14PC57H94,1109.5675393449999
AsSugPL,AsSugPL1136,20,24,4,5,AsO14PC59H98,1137.598839485
AsSugPL,AsSugPL1164,22,24,4,5,AsO14PC61H102,1165.630139625
AsSugPL,AsSugPL1192,24,24,4,5,AsO14PC63H106,1193.661439765
AsSugPL,AsSugPL994,10,24,5,5,AsO14PC49H76,995.426688715
AsSugPL,AsSugPL1022,12,24,5,5,AsO14PC51H80,1023.457988855
AsSugPL,AsSugPL1050,14,24,5,5,AsO14PC53H84,1051.489288995
AsSugPL,AsSugPL1078,16,24,5,5,AsO14PC55H88,1079.520589135
AsSugPL,AsSugPL1106,18,24,5,5,AsO14PC57H92,1107.551889275
AsSugPL,AsSugPL1134,20,24,5,5,AsO14PC59H96,1135.583189415
AsSugPL,AsSugPL1162,22,24,5,5,AsO14PC61H100,1163.614489555
AsSugPL,AsSugPL1190,24,24,5,5,AsO14PC63H104,1191.645789695
AsSugPL,AsSugPL992,10,24,6,5,AsO14PC49H74,993.411038645
AsSugPL,AsSugPL1020,12,24,6,5,AsO14PC51H78,1021.442338785
AsSugPL,AsSugPL1048,14,24,6,5,AsO14PC53H82,1049.473638925
AsSugPL,AsSugPL1076,16,24,6,5,AsO14PC55H86,1077.504939065
AsSugPL,AsSugPL1104,18,24,6,5,AsO14PC57H90,1105.536239205
AsSugPL,AsSugPL1132,20,24,6,5,AsO14PC59H94,1133.5675393449999
AsSugPL,AsSugPL1160,22,24,6,5,AsO14PC61H98,1161.598839485
AsSugPL,AsSugPL1188,24,24,6,5,AsO14PC63H102,1189.630139625
AsSugPL,AsSugPL806,10,10,0,6,AsO14PC35H56,807.270188015
AsSugPL,AsSugPL834,12,10,0,6,AsO14PC37H60,835.301488155
AsSugPL,AsSugPL862,14,10,0,6,AsO14PC39H64,863.332788295
AsSugPL,AsSugPL890,16,10,0,6,AsO14PC41H68,891.364088435
AsSugPL,AsSugPL918,18,10,0,6,AsO14PC43H72,919.395388575
AsSugPL,AsSugPL946,20,10,0,6,AsO14PC45H76,947.426688715
AsSugPL,AsSugPL974,22,10,0,6,AsO14PC47H80,975.457988855
AsSugPL,AsSugPL1002,24,10,0,6,AsO14PC49H84,1003.489288995
AsSugPL,AsSugPL804,10,10,1,6,AsO14PC35H54,805.254537945
AsSugPL,AsSugPL832,12,10,1,6,AsO14PC37H58,833.285838085
AsSugPL,AsSugPL860,14,10,1,6,AsO14PC39H62,861.317138225
AsSugPL,AsSugPL888,16,10,1,6,AsO14PC41H66,889.348438365
AsSugPL,AsSugPL916,18,10,1,6,AsO14PC43H70,917.379738505
AsSugPL,AsSugPL944,20,10,1,6,AsO14PC45H74,945.411038645
AsSugPL,AsSugPL972,22,10,1,6,AsO14PC47H78,973.442338785
AsSugPL,AsSugPL1000,24,10,1,6,AsO14PC49H82,1001.473638925
AsSugPL,AsSugPL802,10,10,2,6,AsO14PC35H52,803.238887875
AsSugPL,AsSugPL830,12,10,2,6,AsO14PC37H56,831.270188015
AsSugPL,AsSugPL858,14,10,2,6,AsO14PC39H60,859.301488155
AsSugPL,AsSugPL886,16,10,2,6,AsO14PC41H64,887.332788295
AsSugPL,AsSugPL914,18,10,2,6,AsO14PC43H68,915.364088435
AsSugPL,AsSugPL942,20,10,2,6,AsO14PC45H72,943.395388575
AsSugPL,AsSugPL970,22,10,2,6,AsO14PC47H76,971.426688715
AsSugPL,AsSugPL998,24,10,2,6,AsO14PC49H80,999.457988855
AsSugPL,AsSugPL800,10,10,3,6,AsO14PC35H50,801.223237805
AsSugPL,AsSugPL828,12,10,3,6,AsO14PC37H54,829.254537945
AsSugPL,AsSugPL856,14,10,3,6,AsO14PC39H58,857.285838085
AsSugPL,AsSugPL884,16,10,3,6,AsO14PC41H62,885.317138225
AsSugPL,AsSugPL912,18,10,3,6,AsO14PC43H66,913.348438365
AsSugPL,AsSugPL940,20,10,3,6,AsO14PC45H70,941.379738505
AsSugPL,AsSugPL968,22,10,3,6,AsO14PC47H74,969.411038645
AsSugPL,AsSugPL996,24,10,3,6,AsO14PC49H78,997.442338785
AsSugPL,AsSugPL798,10,10,4,6,AsO14PC35H48,799.207587735
AsSugPL,AsSugPL826,12,10,4,6,AsO14PC37H52,827.238887875
AsSugPL,AsSugPL854,14,10,4,6,AsO14PC39H56,855.270188015
AsSugPL,AsSugPL882,16,10,4,6,AsO14PC41H60,883.301488155
AsSugPL,AsSugPL910,18,10,4,6,AsO14PC43H64,911.332788295
AsSugPL,AsSugPL938,20,10,4,6,AsO14PC45H68,939.364088435
AsSugPL,AsSugPL966,22,10,4,6,AsO14PC47H72,967.395388575
AsSugPL,AsSugPL994,24,10,4,6,AsO14PC49H76,995.426688715
AsSugPL,AsSugPL796,10,10,5,6,AsO14PC35H46,797.191937665
AsSugPL,AsSugPL824,12,10,5,6,AsO14PC37H50,825.223237805
AsSugPL,AsSugPL852,14,10,5,6,AsO14PC39H54,853.254537945
AsSugPL,AsSugPL880,16,10,5,6,AsO14PC41H58,881.285838085
AsSugPL,AsSugPL908,18,10,5,6,AsO14PC43H62,909.317138225
AsSugPL,AsSugPL936,20,10,5,6,AsO14PC45H66,937.348438365
AsSugPL,AsSugPL964,22,10,5,6,AsO14PC47H70,965.379738505
AsSugPL,AsSugPL992,24,10,5,6,AsO14PC49H74,993.411038645
AsSugPL,AsSugPL794,10,10,6,6,AsO14PC35H44,795.176287595
AsSugPL,AsSugPL822,12,10,6,6,AsO14PC37H48,823.207587735
AsSugPL,AsSugPL850,14,10,6,6,AsO14PC39H52,851.238887875
AsSugPL,AsSugPL878,16,10,6,6,AsO14PC41H56,879.270188015
AsSugPL,AsSugPL906,18,10,6,6,AsO14PC43H60,907.301488155
AsSugPL,AsSugPL934,20,10,6,6,AsO14PC45H64,935.332788295
AsSugPL,AsSugPL962,22,10,6,6,AsO14PC47H68,963.364088435
AsSugPL,AsSugPL990,24,10,6,6,AsO14PC49H72,991.395388575
AsSugPL,AsSugPL834,10,12,0,6,AsO14PC37H60,835.301488155
AsSugPL,AsSugPL862,12,12,0,6,AsO14PC39H64,863.332788295
AsSugPL,AsSugPL890,14,12,0,6,AsO14PC41H68,891.364088435
AsSugPL,AsSugPL918,16,12,0,6,AsO14PC43H72,919.395388575
AsSugPL,AsSugPL946,18,12,0,6,AsO14PC45H76,947.426688715
AsSugPL,AsSugPL974,20,12,0,6,AsO14PC47H80,975.457988855
AsSugPL,AsSugPL1002,22,12,0,6,AsO14PC49H84,1003.489288995
AsSugPL,AsSugPL1030,24,12,0,6,AsO14PC51H88,1031.520589135
AsSugPL,AsSugPL832,10,12,1,6,AsO14PC37H58,833.285838085
AsSugPL,AsSugPL860,12,12,1,6,AsO14PC39H62,861.317138225
AsSugPL,AsSugPL888,14,12,1,6,AsO14PC41H66,889.348438365
AsSugPL,AsSugPL916,16,12,1,6,AsO14PC43H70,917.379738505
AsSugPL,AsSugPL944,18,12,1,6,AsO14PC45H74,945.411038645
AsSugPL,AsSugPL972,20,12,1,6,AsO14PC47H78,973.442338785
AsSugPL,AsSugPL1000,22,12,1,6,AsO14PC49H82,1001.473638925
AsSugPL,AsSugPL1028,24,12,1,6,AsO14PC51H86,1029.504939065
AsSugPL,AsSugPL830,10,12,2,6,AsO14PC37H56,831.270188015
AsSugPL,AsSugPL858,12,12,2,6,AsO14PC39H60,859.301488155
AsSugPL,AsSugPL886,14,12,2,6,AsO14PC41H64,887.332788295
AsSugPL,AsSugPL914,16,12,2,6,AsO14PC43H68,915.364088435
AsSugPL,AsSugPL942,18,12,2,6,AsO14PC45H72,943.395388575
AsSugPL,AsSugPL970,20,12,2,6,AsO14PC47H76,971.426688715
AsSugPL,AsSugPL998,22,12,2,6,AsO14PC49H80,999.457988855
AsSugPL,AsSugPL1026,24,12,2,6,AsO14PC51H84,1027.489288995
AsSugPL,AsSugPL828,10,12,3,6,AsO14PC37H54,829.254537945
AsSugPL,AsSugPL856,12,12,3,6,AsO14PC39H58,857.285838085
AsSugPL,AsSugPL884,14,12,3,6,AsO14PC41H62,885.317138225
AsSugPL,AsSugPL912,16,12,3,6,AsO14PC43H66,913.348438365
AsSugPL,AsSugPL940,18,12,3,6,AsO14PC45H70,941.379738505
AsSugPL,AsSugPL968,20,12,3,6,AsO14PC47H74,969.411038645
AsSugPL,AsSugPL996,22,12,3,6,AsO14PC49H78,997.442338785
AsSugPL,AsSugPL1024,24,12,3,6,AsO14PC51H82,1025.473638925
AsSugPL,AsSugPL826,10,12,4,6,AsO14PC37H52,827.238887875
AsSugPL,AsSugPL854,12,12,4,6,AsO14PC39H56,855.270188015
AsSugPL,AsSugPL882,14,12,4,6,AsO14PC41H60,883.301488155
AsSugPL,AsSugPL910,16,12,4,6,AsO14PC43H64,911.332788295
AsSugPL,AsSugPL938,18,12,4,6,AsO14PC45H68,939.364088435
AsSugPL,AsSugPL966,20,12,4,6,AsO14PC47H72,967.395388575
AsSugPL,AsSugPL994,22,12,4,6,AsO14PC49H76,995.426688715
AsSugPL,AsSugPL1022,24,12,4,6,AsO14PC51H80,1023.457988855
AsSugPL,AsSugPL824,10,12,5,6,AsO14PC37H50,825.223237805
AsSugPL,AsSugPL852,12,12,5,6,AsO14PC39H54,853.254537945
AsSugPL,AsSugPL880,14,12,5,6,AsO14PC41H58,881.285838085
AsSugPL,AsSugPL908,16,12,5,6,AsO14PC43H62,909.317138225
AsSugPL,AsSugPL936,18,12,5,6,AsO14PC45H66,937.348438365
AsSugPL,AsSugPL964,20,12,5,6,AsO14PC47H70,965.379738505
AsSugPL,AsSugPL992,22,12,5,6,AsO14PC49H74,993.411038645
AsSugPL,AsSugPL1020,24,12,5,6,AsO14PC51H78,1021.442338785
AsSugPL,AsSugPL822,10,12,6,6,AsO14PC37H48,823.207587735
AsSugPL,AsSugPL850,12,12,6,6,AsO14PC39H52,851.238887875
AsSugPL,AsSugPL878,14,12,6,6,AsO14PC41H56,879.270188015
AsSugPL,AsSugPL906,16,12,6,6,AsO14PC43H60,907.301488155
AsSugPL,AsSugPL934,18,12,6,6,AsO14PC45H64,935.332788295
AsSugPL,AsSugPL962,20,12,6,6,AsO14PC47H68,963.364088435
AsSugPL,AsSugPL990,22,12,6,6,AsO14PC49H72,991.395388575
AsSugPL,AsSugPL1018,24,12,6,6,AsO14PC51H76,1019.426688715
AsSugPL,AsSugPL862,10,14,0,6,AsO14PC39H64,863.332788295
AsSugPL,AsSugPL890,12,14,0,6,AsO14PC41H68,891.364088435
AsSugPL,AsSugPL918,14,14,0,6,AsO14PC43H72,919.395388575
AsSugPL,AsSugPL946,16,14,0,6,AsO14PC45H76,947.426688715
AsSugPL,AsSugPL974,18,14,0,6,AsO14PC47H80,975.457988855
AsSugPL,AsSugPL1002,20,14,0,6,AsO14PC49H84,1003.489288995
AsSugPL,AsSugPL1030,22,14,0,6,AsO14PC51H88,1031.520589135
AsSugPL,AsSugPL1058,24,14,0,6,AsO14PC53H92,1059.551889275
AsSugPL,AsSugPL860,10,14,1,6,AsO14PC39H62,861.317138225
AsSugPL,AsSugPL888,12,14,1,6,AsO14PC41H66,889.348438365
AsSugPL,AsSugPL916,14,14,1,6,AsO14PC43H70,917.379738505
AsSugPL,AsSugPL944,16,14,1,6,AsO14PC45H74,945.411038645
AsSugPL,AsSugPL972,18,14,1,6,AsO14PC47H78,973.442338785
AsSugPL,AsSugPL1000,20,14,1,6,AsO14PC49H82,1001.473638925
AsSugPL,AsSugPL1028,22,14,1,6,AsO14PC51H86,1029.504939065
AsSugPL,AsSugPL1056,24,14,1,6,AsO14PC53H90,1057.536239205
AsSugPL,AsSugPL858,10,14,2,6,AsO14PC39H60,859.301488155
AsSugPL,AsSugPL886,12,14,2,6,AsO14PC41H64,887.332788295
AsSugPL,AsSugPL914,14,14,2,6,AsO14PC43H68,915.364088435
AsSugPL,AsSugPL942,16,14,2,6,AsO14PC45H72,943.395388575
AsSugPL,AsSugPL970,18,14,2,6,AsO14PC47H76,971.426688715
AsSugPL,AsSugPL998,20,14,2,6,AsO14PC49H80,999.457988855
AsSugPL,AsSugPL1026,22,14,2,6,AsO14PC51H84,1027.489288995
AsSugPL,AsSugPL1054,24,14,2,6,AsO14PC53H88,1055.520589135
AsSugPL,AsSugPL856,10,14,3,6,AsO14PC39H58,857.285838085
AsSugPL,AsSugPL884,12,14,3,6,AsO14PC41H62,885.317138225
AsSugPL,AsSugPL912,14,14,3,6,AsO14PC43H66,913.348438365
AsSugPL,AsSugPL940,16,14,3,6,AsO14PC45H70,941.379738505
AsSugPL,AsSugPL968,18,14,3,6,AsO14PC47H74,969.411038645
AsSugPL,AsSugPL996,20,14,3,6,AsO14PC49H78,997.442338785
AsSugPL,AsSugPL1024,22,14,3,6,AsO14PC51H82,1025.473638925
AsSugPL,AsSugPL1052,24,14,3,6,AsO14PC53H86,1053.504939065
AsSugPL,AsSugPL854,10,14,4,6,AsO14PC39H56,855.270188015
AsSugPL,AsSugPL882,12,14,4,6,AsO14PC41H60,883.301488155
AsSugPL,AsSugPL910,14,14,4,6,AsO14PC43H64,911.332788295
AsSugPL,AsSugPL938,16,14,4,6,AsO14PC45H68,939.364088435
AsSugPL,AsSugPL966,18,14,4,6,AsO14PC47H72,967.395388575
AsSugPL,AsSugPL994,20,14,4,6,AsO14PC49H76,995.426688715
AsSugPL,AsSugPL1022,22,14,4,6,AsO14PC51H80,1023.457988855
AsSugPL,AsSugPL1050,24,14,4,6,AsO14PC53H84,1051.489288995
AsSugPL,AsSugPL852,10,14,5,6,AsO14PC39H54,853.254537945
AsSugPL,AsSugPL880,12,14,5,6,AsO14PC41H58,881.285838085
AsSugPL,AsSugPL908,14,14,5,6,AsO14PC43H62,909.317138225
AsSugPL,AsSugPL936,16,14,5,6,AsO14PC45H66,937.348438365
AsSugPL,AsSugPL964,18,14,5,6,AsO14PC47H70,965.379738505
AsSugPL,AsSugPL992,20,14,5,6,AsO14PC49H74,993.411038645
AsSugPL,AsSugPL1020,22,14,5,6,AsO14PC51H78,1021.442338785
AsSugPL,AsSugPL1048,24,14,5,6,AsO14PC53H82,1049.473638925
AsSugPL,AsSugPL850,10,14,6,6,AsO14PC39H52,851.238887875
AsSugPL,AsSugPL878,12,14,6,6,AsO14PC41H56,879.270188015
AsSugPL,AsSugPL906,14,14,6,6,AsO14PC43H60,907.301488155
AsSugPL,AsSugPL934,16,14,6,6,AsO14PC45H64,935.332788295
AsSugPL,AsSugPL962,18,14,6,6,AsO14PC47H68,963.364088435
AsSugPL,AsSugPL990,20,14,6,6,AsO14PC49H72,991.395388575
AsSugPL,AsSugPL1018,22,14,6,6,AsO14PC51H76,1019.426688715
AsSugPL,AsSugPL1046,24,14,6,6,AsO14PC53H80,1047.457988855
AsSugPL,AsSugPL890,10,16,0,6,AsO14PC41H68,891.364088435
AsSugPL,AsSugPL918,12,16,0,6,AsO14PC43H72,919.395388575
AsSugPL,AsSugPL946,14,16,0,6,AsO14PC45H76,947.426688715
AsSugPL,AsSugPL974,16,16,0,6,AsO14PC47H80,975.457988855
AsSugPL,AsSugPL1002,18,16,0,6,AsO14PC49H84,1003.489288995
AsSugPL,AsSugPL1030,20,16,0,6,AsO14PC51H88,1031.520589135
AsSugPL,AsSugPL1058,22,16,0,6,AsO14PC53H92,1059.551889275
AsSugPL,AsSugPL1086,24,16,0,6,AsO14PC55H96,1087.583189415
AsSugPL,AsSugPL888,10,16,1,6,AsO14PC41H66,889.348438365
AsSugPL,AsSugPL916,12,16,1,6,AsO14PC43H70,917.379738505
AsSugPL,AsSugPL944,14,16,1,6,AsO14PC45H74,945.411038645
AsSugPL,AsSugPL972,16,16,1,6,AsO14PC47H78,973.442338785
AsSugPL,AsSugPL1000,18,16,1,6,AsO14PC49H82,1001.473638925
AsSugPL,AsSugPL1028,20,16,1,6,AsO14PC51H86,1029.504939065
AsSugPL,AsSugPL1056,22,16,1,6,AsO14PC53H90,1057.536239205
AsSugPL,AsSugPL1084,24,16,1,6,AsO14PC55H94,1085.5675393449999
AsSugPL,AsSugPL886,10,16,2,6,AsO14PC41H64,887.332788295
AsSugPL,AsSugPL914,12,16,2,6,AsO14PC43H68,915.364088435
AsSugPL,AsSugPL942,14,16,2,6,AsO14PC45H72,943.395388575
AsSugPL,AsSugPL970,16,16,2,6,AsO14PC47H76,971.426688715
AsSugPL,AsSugPL998,18,16,2,6,AsO14PC49H80,999.457988855
AsSugPL,AsSugPL1026,20,16,2,6,AsO14PC51H84,1027.489288995
AsSugPL,AsSugPL1054,22,16,2,6,AsO14PC53H88,1055.520589135
AsSugPL,AsSugPL1082,24,16,2,6,AsO14PC55H92,1083.551889275
AsSugPL,AsSugPL884,10,16,3,6,AsO14PC41H62,885.317138225
AsSugPL,AsSugPL912,12,16,3,6,AsO14PC43H66,913.348438365
AsSugPL,AsSugPL940,14,16,3,6,AsO14PC45H70,941.379738505
AsSugPL,AsSugPL968,16,16,3,6,AsO14PC47H74,969.411038645
AsSugPL,AsSugPL996,18,16,3,6,AsO14PC49H78,997.442338785
AsSugPL,AsSugPL1024,20,16,3,6,AsO14PC51H82,1025.473638925
AsSugPL,AsSugPL1052,22,16,3,6,AsO14PC53H86,1053.504939065
AsSugPL,AsSugPL1080,24,16,3,6,AsO14PC55H90,1081.536239205
AsSugPL,AsSugPL882,10,16,4,6,AsO14PC41H60,883.301488155
AsSugPL,AsSugPL910,12,16,4,6,AsO14PC43H64,911.332788295
AsSugPL,AsSugPL938,14,16,4,6,AsO14PC45H68,939.364088435
AsSugPL,AsSugPL966,16,16,4,6,AsO14PC47H72,967.395388575
AsSugPL,AsSugPL994,18,16,4,6,AsO14PC49H76,995.426688715
AsSugPL,AsSugPL1022,20,16,4,6,AsO14PC51H80,1023.457988855
AsSugPL,AsSugPL1050,22,16,4,6,AsO14PC53H84,1051.489288995
AsSugPL,AsSugPL1078,24,16,4,6,AsO14PC55H88,1079.520589135
AsSugPL,AsSugPL880,10,16,5,6,AsO14PC41H58,881.285838085
AsSugPL,AsSugPL908,12,16,5,6,AsO14PC43H62,909.317138225
AsSugPL,AsSugPL936,14,16,5,6,AsO14PC45H66,937.348438365
AsSugPL,AsSugPL964,16,16,5,6,AsO14PC47H70,965.379738505
AsSugPL,AsSugPL992,18,16,5,6,AsO14PC49H74,993.411038645
AsSugPL,AsSugPL1020,20,16,5,6,AsO14PC51H78,1021.442338785
AsSugPL,AsSugPL1048,22,16,5,6,AsO14PC53H82,1049.473638925
AsSugPL,AsSugPL1076,24,16,5,6,AsO14PC55H86,1077.504939065
AsSugPL,AsSugPL878,10,16,6,6,AsO14PC41H56,879.270188015
AsSugPL,AsSugPL906,12,16,6,6,AsO14PC43H60,907.301488155
AsSugPL,AsSugPL934,14,16,6,6,AsO14PC45H64,935.332788295
