Lipid Class (short),Lipid ID (ms1 only),SN1 tail length,SN2 tail length,SN1 saturation,SN2 saturation,Empirical Formula (in ionic state),m/z
AsFA,AsFA422,19,NA,5,NA,AsO3C22H35,423.18803935
AsFA,AsFA436,20,NA,5,NA,AsO3C23H37,437.20368942
AsFA,AsFA450,21,NA,5,NA,AsO3C24H39,451.21933949
AsFA,AsFA251,7,NA,6,NA,AsO3C10H9,252.98458844
AsFA,AsFA266,8,NA,6,NA,AsO3C11H11,267.00023851
AsFA,AsFA280,9,NA,6,NA,AsO3C12H13,281.01588858
AsFA,AsFA294,10,NA,6,NA,AsO3C13H15,295.03153865
AsFA,AsFA308,11,NA,6,NA,AsO3C14H17,309.04718872
AsFA,AsFA322,12,NA,6,NA,AsO3C15H19,323.06283879
AsFA,AsFA336,13,NA,6,NA,AsO3C16H21,337.07848886
AsFA,AsFA350,14,NA,6,NA,AsO3C17H23,351.09413893
AsFA,AsFA364,15,NA,6,NA,AsO3C18H25,365.109789
AsFA,AsFA378,16,NA,6,NA,AsO3C19H27,379.12543907
AsFA,AsFA392,17,NA,6,NA,AsO3C20H29,393.14108914
AsFA,AsFA406,18,NA,6,NA,AsO3C21H31,407.15673921
AsFA,AsFA420,19,NA,6,NA,AsO3C22H33,421.17238928
AsFA,AsFA434,20,NA,6,NA,AsO3C23H35,435.18803935
AsFA,AsFA448,21,NA,6,NA,AsO3C24H37,449.20368942
AsFA,AsFA249,7,NA,7,NA,AsO3C10H7,250.96893837
AsFA,AsFA263,8,NA,7,NA,AsO3C11H9,264.98458844
AsFA,AsFA278,9,NA,7,NA,AsO3C12H11,279.00023851
AsFA,AsFA292,10,NA,7,NA,AsO3C13H13,293.01588858
AsFA,AsFA306,11,NA,7,NA,AsO3C14H15,307.03153865
AsFA,AsFA320,12,NA,7,NA,AsO3C15H17,321.04718872
AsFA,AsFA334,13,NA,7,NA,AsO3C16H19,335.06283879
AsFA,AsFA348,14,NA,7,NA,AsO3C17H21,349.07848886
AsFA,AsFA362,15,NA,7,NA,AsO3C18H23,363.09413893
AsFA,AsFA376,16,NA,7,NA,AsO3C19H25,377.109789
AsFA,AsFA390,17,NA,7,NA,AsO3C20H27,391.12543907
AsFA,AsFA404,18,NA,7,NA,AsO3C21H29,405.14108914
AsFA,AsFA418,19,NA,7,NA,AsO3C22H31,419.15673921
AsFA,AsFA432,20,NA,7,NA,AsO3C23H33,433.17238928
AsFA,AsFA446,21,NA,7,NA,AsO3C24H35,447.18803935
AsFA,AsFA247,7,NA,8,NA,AsO3C10H5,248.9532883
AsFA,AsFA261,8,NA,8,NA,AsO3C11H7,262.96893837
AsFA,AsFA275,9,NA,8,NA,AsO3C12H9,276.98458844
AsFA,AsFA290,10,NA,8,NA,AsO3C13H11,291.00023851
AsFA,AsFA304,11,NA,8,NA,AsO3C14H13,305.01588858
AsFA,AsFA318,12,NA,8,NA,AsO3C15H15,319.03153865
AsFA,AsFA332,13,NA,8,NA,AsO3C16H17,333.04718872
AsFA,AsFA346,14,NA,8,NA,AsO3C17H19,347.06283879
AsFA,AsFA360,15,NA,8,NA,AsO3C18H21,361.07848886
AsFA,AsFA374,16,NA,8,NA,AsO3C19H23,375.09413893
AsFA,AsFA388,17,NA,8,NA,AsO3C20H25,389.109789
AsFA,AsFA402,18,NA,8,NA,AsO3C21H27,403.12543907
AsFA,AsFA416,19,NA,8,NA,AsO3C22H29,417.14108914
AsFA,AsFA430,20,NA,8,NA,AsO3C23H31,431.15673921
AsFA,AsFA444,21,NA,8,NA,AsO3C24H33,445.17238928
AsHC,AsHC304,13,NA,0,NA,AsOC15H33,305.18256002
AsHC,AsHC318,14,NA,0,NA,AsOC16H35,319.19821009
AsHC,AsHC332,15,NA,0,NA,AsOC17H37,333.21386016
AsHC,AsHC346,16,NA,0,NA,AsOC18H39,347.22951023
AsHC,AsHC360,17,NA,0,NA,AsOC19H41,361.2451603
AsHC,AsHC374,18,NA,0,NA,AsOC20H43,375.26081037
AsHC,AsHC388,19,NA,0,NA,AsOC21H45,389.27646044
AsHC,AsHC402,20,NA,0,NA,AsOC22H47,403.29211051
AsHC,AsHC416,21,NA,0,NA,AsOC23H49,417.30776058
AsHC,AsHC430,22,NA,0,NA,AsOC24H51,431.32341065
AsHC,AsHC444,23,NA,0,NA,AsOC25H53,445.33906072
AsHC,AsHC458,24,NA,0,NA,AsOC26H55,459.35471079
AsHC,AsHC472,25,NA,0,NA,AsOC27H57,473.37036086
