peak_times,int_area,sampID
52.18068,3913.320471833689,Smp_ALOHA_elute
858.09185,1010.3761338311997,Smp_ALOHA_elute
1014.75944,314.3736597541829,Smp_ALOHA_elute
1083.15401,508.1721030204098,Smp_ALOHA_elute
1267.78594,437.84174134181313,Smp_ALOHA_elute
1319.33462,118.98274155628002,Smp_ALOHA_elute
1414.00906,5745.299292199082,Smp_ALOHA_elute
1470.9484,362.39137694222285,Smp_ALOHA_elute
1573.3719,994.3563647961454,Smp_ALOHA_elute
1695.33696,122.58225708912661,Smp_ALOHA_elute
1810.5634,227.08380316024898,Smp_ALOHA_elute
51.17037,743.7053675337081,Smp_ALOHA_crude
852.02791,420.81846123302796,Smp_ALOHA_crude
1004.98928,938.6200306116602,Smp_ALOHA_crude
1073.72086,335.6154315008431,Smp_ALOHA_crude
1120.8896,336.60334650982395,Smp_ALOHA_crude
1171.7644,1099.1742911510928,Smp_ALOHA_crude
1250.60363,1998.1259462623943,Smp_ALOHA_crude
1311.24913,2637.5548220876653,Smp_ALOHA_crude
1394.13135,5975.939298746693,Smp_ALOHA_crude
1450.73369,591.2274471439869,Smp_ALOHA_crude
1551.47259,1389.9693177535555,Smp_ALOHA_crude
1671.75278,336.9756204368422,Smp_ALOHA_crude
1789.00085,218.44586902271345,Smp_ALOHA_crude
51.50696,539.3591250748038,Smp_ALOHAblank_elute
1367.85114,217.04735894772617,Smp_ALOHAblank_elute
1393.794,337.54671471065984,Smp_ALOHAblank_elute
51.17026,198.9052727534401,Smp_ALOHAblank_crude
110.46815,139.25053746001186,Smp_ALOHAblank_crude
1392.10971,504.3263954656013,Smp_ALOHAblank_crude
49.82258,318.60343762139655,Smp_ALOHAprefilter_elute
50.49643,332.90456026011697,Smp_ALOHAprefilter_crude
1059.5702900000001,126.4583844357994,Smp_ALOHAprefilter_crude
1168.39525,204.3248260658069,Smp_ALOHAprefilter_crude
1297.77231,387.91475535737084,Smp_ALOHAprefilter_crude
1544.06049,145.67831541579713,Smp_ALOHAprefilter_crude
52.51789,716.4808422739274,Smp_BATSblank_elute
50.49615,75.91244932233086,Smp_BATSblank_crude
51.17032,344.7952696464446,Smp_BATS_elute
109.79439,138.98260305827486,Smp_BATS_elute
846.30061,121.85695274182933,Smp_BATS_elute
1392.44716,670.3696867414897,Smp_BATS_elute
1549.11478,353.1342732145202,Smp_BATS_elute
50.83322,1207.8395833782113,Smp_BATS_crude
110.46792,1391.8229540427799,Smp_BATS_crude
847.6476,553.161402136622,Smp_BATS_crude
1375.60052,731.1703794879294,Smp_BATS_crude
1391.09881,287.30487689831875,Smp_BATS_crude
1540.35409,386.90583380888086,Smp_BATS_crude
51.17039,3597.6452179923117,Smp_PS1blank_elute
110.46824,282.8911230726528,Smp_PS1blank_elute
1393.12055,529.2478599251335,Smp_PS1blank_elute
51.50706,221.5348348837803,Smp_PS1blank_crude
1365.83006,348.8149487545875,Smp_PS1blank_crude
1392.78359,190.1588945131483,Smp_PS1blank_crude
51.50734,951.3410672437378,Smp_PS1_elute
113.83742,601.6069296792137,Smp_PS1_elute
823.38993,899.7733569249867,Smp_PS1_elute
845.62668,923.4835413890312,Smp_PS1_elute
999.59891,91.42768935051663,Smp_PS1_elute
1070.01519,100.53550779062655,Smp_PS1_elute
1118.86842,279.07549642315314,Smp_PS1_elute
1326.74771,162.2450100356488,Smp_PS1_elute
1390.0885,2241.7256484321306,Smp_PS1_elute
1450.0602,661.5558682151222,Smp_PS1_elute
1549.11453,484.59747929234817,Smp_PS1_elute
1758.67833,250.59910101117762,Smp_PS1_elute
51.17021,637.1108962267099,Smp_PS1_crude
851.35397,1077.4683528069877,Smp_PS1_crude
1006.00009,98.27288953788039,Smp_PS1_crude
1376.61169,1628.8337891034405,Smp_PS1_crude
1435.90948,574.6942924673938,Smp_PS1_crude
1452.75547,193.49380185492316,Smp_PS1_crude
1539.68074,272.33390974260885,Smp_PS1_crude
1758.34145,160.62772250613298,Smp_PS1_crude
52.1811,1455.8275749627167,Smp_PS2_elute
111.47896,352.82419888630625,Smp_PS2_elute
851.69133,108.67710305424632,Smp_PS2_elute
1066.98301,344.74721047231066,Smp_PS2_elute
1244.87665,942.7962020352688,Smp_PS2_elute
1301.81603,203.54502182394364,Smp_PS2_elute
1389.75199,1015.5152426039981,Smp_PS2_elute
1452.75601,198.38545703927616,Smp_PS2_elute
1488.80642,158.3891402919037,Smp_PS2_elute
1527.55223,290.90839137247764,Smp_PS2_elute
1633.345,206.00974864250458,Smp_PS2_elute
1669.05849,225.95176520063183,Smp_PS2_elute
51.17034,582.6635172533786,Smp_PS2_crude
86.21002,205.30354428301902,Smp_PS2_crude
682.22117,83.70527942900837,Smp_PS2_crude
851.01793,493.1493330260401,Smp_PS2_crude
1006.67468,282.34527185573785,Smp_PS2_crude
1216.23871,143.6705273056963,Smp_PS2_crude
1304.84855,153.27301751936128,Smp_PS2_crude
1372.90626,3428.6507016328424,Smp_PS2_crude
1432.20404,436.48297809030066,Smp_PS2_crude
1453.76697,215.8649457293285,Smp_PS2_crude
1536.31224,175.3744800787889,Smp_PS2_crude
1624.58513,602.7552306183098,Smp_PS2_crude
1663.66775,617.6796668944663,Smp_PS2_crude
51.50695,242.03586449053407,Smp_PS3_elute
110.13094,387.22788836851925,Smp_PS3_elute
847.64795,488.44323537770777,Smp_PS3_elute
1371.5577,354.75076209036894,Smp_PS3_elute
1391.77291,261.09955985185553,Smp_PS3_elute
1430.18184,203.1637078798983,Smp_PS3_elute
1453.09242,318.40318218248336,Smp_PS3_elute
1534.29012,284.44759325495875,Smp_PS3_elute
1591.56639,318.7433386464194,Smp_PS3_elute
1624.58462,467.7769282635637,Smp_PS3_elute
1665.01506,278.2252678961436,Smp_PS3_elute
51.17022,505.9200635452139,Smp_PS3_crude
86.88366,398.98687369927245,Smp_PS3_crude
852.70198,323.8576069651572,Smp_PS3_crude
1008.35883,535.2601588382503,Smp_PS3_crude
1371.89522,577.0050721312955,Smp_PS3_crude
1431.86688,558.4476904939471,Smp_PS3_crude
1453.76665,604.6263635694559,Smp_PS3_crude
1535.63811,359.7696713730651,Smp_PS3_crude
1588.53462,262.6602553844267,Smp_PS3_crude
1622.56345,341.7421909704133,Smp_PS3_crude
1661.3092,233.27996171680314,Smp_PS3_crude
846.97386,689.373850497039,Smp_KM1906S4C28D15_A
50.15946,473.5224562530714,Smp_KM1906U12_C
844.9531,655.8387757745896,Smp_KM1906U12_C
1001.95785,184.6387076453595,Smp_KM1906U12_C
1117.52123,339.0927633516926,Smp_KM1906U12_C
1443.99663,152.8199365735741,Smp_KM1906U12_C
51.84381,200.18868746942098,Smp_KM1910S2CTD10D25_B
109.45712,107.58225453925866,Smp_KM1910S2CTD10D25_B
846.63736,1144.6516006983666,Smp_KM1910S2CTD10D25_B
1000.27267,87.70731989235415,Smp_KM1910S2CTD10D25_B
