sampleID,area_under_hump
Smp_ALOHA_crude,1048386.5522048599
Smp_BATS_crude,158438.22125608442
Smp_PS1_crude,289027.40112370247
Smp_PS2_crude,355713.5332296538
Smp_PS3_crude,267376.2592749464
