peak_times,int_area,sampleID,nMolAs_in_vial,Sample ID,pMolAs_enviro
52.18068,3914.7380766983606,Smp_ALOHA_elute,3.517668981205372,NA,NA
858.09185,1240.9353692184916,Smp_ALOHA_elute,1.1150681783702057,NA,NA
1014.75944,278.58105253855297,Smp_ALOHA_elute,0.25032477475297504,NA,NA
1083.15401,613.0364896612843,Smp_ALOHA_elute,0.5508566350490702,NA,NA
1267.78594,438.1028767665709,Smp_ALOHA_elute,0.39366641394265406,NA,NA
1414.00906,6860.566909605527,Smp_ALOHA_elute,6.164704493271486,NA,NA
1470.9484,769.1165471569853,Smp_ALOHA_elute,0.6911056034552605,NA,NA
1573.3719,1327.980812653967,Smp_ALOHA_elute,1.1932846644617812,NA,NA
1695.33696,173.92967573909326,Smp_ALOHA_elute,0.15628811258160186,NA,NA
1810.5634,226.0707777451242,Smp_ALOHA_elute,0.2031405797400612,NA,NA
51.17037,2866.7905606394147,Smp_ALOHA_crude,2.576014035472508,ALOHA,0.010345437893463887
736.46448,128.2850640786191,Smp_ALOHA_crude,0.11527320137900322,ALOHA,4.6294458385141856e-4
852.02791,876.7718582529369,Smp_ALOHA_crude,0.787841513006489,ALOHA,0.0031640221405883095
1004.98928,938.1779074724309,Smp_ALOHA_crude,0.8430191903799805,ALOHA,0.0033856192384738174
1073.72086,646.36125031449,Smp_ALOHA_crude,0.5808012889592856,ALOHA,0.0023325352970252435
1120.8896,336.5094431382597,Smp_ALOHA_crude,0.30237752994409545,ALOHA,0.0012143675901369294
1171.7644,872.6612946291209,Smp_ALOHA_crude,0.7841478809239657,ALOHA,0.0031491882768030755
1250.60363,1533.4162196591062,Smp_ALOHA_crude,1.3778829044218748,ALOHA,0.005533666282818775
1311.24913,3414.7967560948746,Smp_ALOHA_crude,3.068436352749949,ALOHA,0.012323037561244777
1394.13135,3999.9775574436107,Smp_ALOHA_crude,3.5942626821163928,ALOHA,0.014434789888017644
1450.73369,1169.6714685554734,Smp_ALOHA_crude,1.0510325244054781,ALOHA,0.004221014154238868
1551.47259,941.5093991699428,Smp_ALOHA_crude,0.8460127712469191,ALOHA,0.003397641651594053
1671.75278,397.6964442793144,Smp_ALOHA_crude,0.35735837712976276,ALOHA,0.0014351742053404129
1789.00085,341.6779103417691,Smp_ALOHA_crude,0.3070217631995412,ALOHA,0.0012330191293154266
51.17032,510.7507246189637,Smp_BATS_elute,0.4589456423188263,NA,NA
846.30061,238.8235052255484,Smp_BATS_elute,0.21459980715317276,NA,NA
1067.31981,143.767150622178,Smp_BATS_elute,0.1291849509090116,NA,NA
1373.57964,193.9968049464306,Smp_BATS_elute,0.174319847162942,NA,NA
