sampleID,area_under_hump,nMolAs_in_vial,Sample ID,pMolAs_enviro
Smp_ALOHA_crude,1137825.3933778882,1022.4165739560407,ALOHA,4.106090658457995
Smp_BATS_crude,186918.62552666577,167.95960244145806,BATS,2.401382420075611
Smp_PS1_crude,345619.9569471333,310.5639708247958,ETNP-PS1,2.1408370538519517
Smp_PS2_crude,420008.87478925346,377.4076737014273,ETNP-PS2,2.884987611493558
Smp_PS3_crude,303219.08775368024,272.46379160060894,ETNP-PS3,4.7490183863472275
