sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
74;485.131;5101.04061228491;485.143;0;485.154;0;485.166;0;485.166;NaN
75;485.177;5501.21026625858;485.188;0;485.2;100.0004000016;485.212;0;485.212;0
76;485.223;6701.7960813498;485.234;100.0004000016;485.246;100.0004000016;485.257;0;485.257;0
77;485.269;7702.37233067785;485.28;0;485.292;0;485.303;0;485.303;NaN
78;485.314;4700.88376614804;485.326;0;485.338;0;485.349;0;485.349;NaN
79;485.36;6101.48876325823;485.372;100.0004000016;485.383;0;485.395;0;485.395;NaN
80;485.406;5801.34591225164;485.418;0;485.429;200.0016000128;485.441;0;485.441;0
81;485.452;7602.31110257518;485.464;0;485.475;100.0004000016;485.487;0;485.487;0
82;485.498;4300.73972723308;485.509;0;485.521;0;485.533;0;485.533;NaN
83;485.544;7001.96054895371;485.555;0;485.567;0;485.578;0;485.578;NaN
84;485.59;5701.29989637637;485.601;100.0004000016;485.613;0;485.624;0;485.624;NaN
85;485.636;4100.67251029169;485.647;100.0004000016;485.659;0;485.67;0;485.67;NaN
86;485.681;6601.74286011507;485.693;0;485.704;0;485.716;0;485.716;NaN
87;485.727;4200.70571856072;485.739;100.0004000016;485.75;0;485.762;0;485.762;NaN
88;485.773;7602.31110257518;485.785;100.0004000016;485.796;0;485.808;0;485.808;NaN
89;485.819;6901.90492575951;485.831;0;485.842;100.0004000016;485.854;0;485.854;0
90;485.865;7302.132222609;485.877;100.0004000016;485.888;200.0016000128;485.9;0;485.9;0
91;485.911;7102.01697282028;485.922;100.0004000016;485.934;0;485.945;0;485.945;NaN
92;485.957;7902.49718911176;485.968;100.0004000016;485.98;100.0004000016;485.991;0;485.991;0
93;486.002;5601.25468104855;486.014;0;486.026;0;486.037;0;486.037;NaN
94;486.048;7502.25067520256;486.06;0;486.071;0;486.083;0;486.083;NaN
95;486.094;6201.53798141939;486.106;0;486.117;0;486.129;0;486.129;NaN
96;486.14;7702.37233067785;486.152;100.0004000016;486.163;100.0004000016;486.175;0;486.175;0
97;486.186;5901.39272868397;486.198;0;486.209;0;486.221;0;486.221;NaN
98;486.232;5901.39272868397;486.243;0;486.255;100.0004000016;486.266;0;486.266;0
99;486.278;5101.04061228491;486.289;0;486.301;100.0004000016;486.312;0;486.312;0
