sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
54;1254.573;55523.0390545449;1254.584;72710.8614983452;1254.596;0;1254.607;0;1254.607;NaN
55;1254.618;57431.6333035317;1254.63;71001.0750445261;1254.641;0;1254.653;0;1254.653;NaN
56;1254.664;59842.904856798;1254.676;74823.2726455744;1254.687;0;1254.699;0;1254.699;NaN
57;1254.71;53012.1737596755;1254.722;67883.8294100424;1254.733;0;1254.745;0;1254.745;NaN
58;1254.756;58737.681124556;1254.768;75829.3078268684;1254.779;0;1254.791;0;1254.791;NaN
59;1254.802;56025.2725093309;1254.814;73012.6127282647;1254.825;200.0016000128;1254.837;0;1254.837;0
60;1254.848;58938.6236428079;1254.859;71906.2270592058;1254.871;0;1254.882;0;1254.882;NaN
61;1254.894;60043.8651007815;1254.905;66074.1715161165;1254.917;0;1254.928;0;1254.928;NaN
62;1254.94;58134.8729051399;1254.951;68989.8600949814;1254.963;0;1254.974;0;1254.974;NaN
63;1254.985;59039.0961104362;1254.997;75527.4887962543;1255.009;0;1255.02;0;1255.02;NaN
64;1255.031;60144.3464314354;1255.043;76131.134123198;1255.054;0;1255.066;0;1255.066;NaN
65;1255.077;55924.8242076314;1255.089;74622.0752960811;1255.1;0;1255.112;0;1255.112;NaN
66;1255.123;54920.3854849831;1255.135;68084.9186390236;1255.146;0;1255.158;0;1255.158;NaN
67;1255.169;56025.2725093309;1255.18;77237.8927095454;1255.192;0;1255.204;0;1255.204;NaN
68;1255.215;60043.8651007815;1255.226;76734.808514053;1255.238;0;1255.25;0;1255.25;NaN
69;1255.261;58637.211073913;1255.272;81867.2145884166;1255.284;0;1255.295;0;1255.295;NaN
70;1255.307;56226.1715289109;1255.318;74320.2853257054;1255.33;0;1255.341;0;1255.341;NaN
71;1255.352;57632.5548762153;1255.364;73616.1369781679;1255.376;0;1255.387;0;1255.387;NaN
72;1255.398;56527.5260988791;1255.41;78646.6358500257;1255.421;0;1255.433;0;1255.433;NaN
73;1255.444;61048.7146689335;1255.456;75225.6770310933;1255.467;100.0004000016;1255.479;0;1255.479;0
74;1255.49;56226.1715289109;1255.502;74823.2726455744;1255.513;0;1255.525;0;1255.525;NaN
75;1255.536;56025.2725093309;1255.547;68185.4644633403;1255.559;0;1255.571;0;1255.571;NaN
76;1255.582;55422.5947796526;1255.593;77942.2444958932;1255.605;0;1255.616;0;1255.616;NaN
77;1255.628;58737.681124556;1255.639;68386.5585316744;1255.651;0;1255.662;0;1255.662;NaN
78;1255.674;56527.5260988791;1255.685;76231.74450329;1255.697;200.0016000128;1255.708;0;1255.708;0
79;1255.719;51706.7226756024;1255.731;73917.9099986761;1255.743;0;1255.754;0;1255.754;NaN
80;1255.765;59742.4259434492;1255.777;72107.3808272592;1255.788;0;1255.8;0;1255.8;NaN
81;1255.811;55723.9300203653;1255.823;75929.915784997;1255.834;0;1255.846;0;1255.846;NaN
82;1255.857;58335.8057557995;1255.869;74119.0960479176;1255.88;0;1255.892;0;1255.892;NaN
83;1255.903;59541.4705339888;1255.914;76835.4237383343;1255.926;0;1255.938;0;1255.938;NaN
84;1255.949;54619.0695716662;1255.96;73113.1980856177;1255.972;100.0004000016;1255.983;0;1255.983;0
85;1255.995;60646.7651717156;1256.006;76030.5245504369;1256.018;100.0004000016;1256.029;0;1256.029;0
86;1256.041;60144.3464314354;1256.052;71705.0765188439;1256.064;0;1256.075;0;1256.075;NaN
87;1256.086;58134.8729051399;1256.098;72811.4444346382;1256.11;100.0004000016;1256.121;0;1256.121;0
88;1256.132;56427.0737701303;1256.144;73213.78425001;1256.155;0;1256.167;0;1256.167;NaN
89;1256.178;53815.5958999932;1256.19;76533.5804876483;1256.201;0;1256.213;0;1256.213;NaN
90;1256.224;52911.7496151873;1256.236;66677.361782341;1256.247;0;1256.259;0;1256.259;NaN
91;1256.27;55422.5947796526;1256.282;69894.8668888862;1256.293;0;1256.305;0;1256.305;NaN
92;1256.316;49497.8076679519;1256.328;72912.0281779415;1256.339;0;1256.351;0;1256.351;NaN
93;1256.362;57632.5548762153;1256.373;83075.144879842;1256.385;0;1256.396;0;1256.396;NaN
94;1256.408;56929.3434683601;1256.419;72610.2793690528;1256.431;0;1256.442;0;1256.442;NaN
