sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
67;5320.881;100.0004000016;5320.892;200.0016000128;5320.904;0;5320.915;0;5320.915;NaN
68;5320.926;200.0016000128;5320.938;0;5320.95;0;5320.961;0;5320.961;NaN
69;5320.972;200.0016000128;5320.984;100.0004000016;5320.995;0;5321.007;0;5321.007;NaN
70;5321.018;400.006400102402;5321.03;100.0004000016;5321.041;0;5321.053;0;5321.053;NaN
71;5321.064;0;5321.076;300.003600043201;5321.087;0;5321.099;0;5321.099;NaN
72;5321.11;500.010000200004;5321.121;100.0004000016;5321.133;0;5321.144;0;5321.144;NaN
73;5321.156;0;5321.167;200.0016000128;5321.179;0;5321.19;0;5321.19;NaN
74;5321.202;300.003600043201;5321.213;400.006400102402;5321.225;0;5321.236;0;5321.236;NaN
75;5321.247;100.0004000016;5321.259;300.003600043201;5321.271;0;5321.282;0;5321.282;NaN
76;5321.293;0;5321.305;200.0016000128;5321.316;0;5321.328;0;5321.328;NaN
77;5321.339;200.0016000128;5321.351;500.010000200004;5321.362;0;5321.374;0;5321.374;NaN
78;5321.385;400.006400102402;5321.397;200.0016000128;5321.408;0;5321.42;0;5321.42;NaN
79;5321.431;0;5321.442;700.019600548815;5321.454;0;5321.466;0;5321.466;NaN
80;5321.477;0;5321.488;0;5321.5;0;5321.511;0;5321.511;NaN
81;5321.523;100.0004000016;5321.534;300.003600043201;5321.546;100.0004000016;5321.557;100.0004000016;5321.557;1
82;5321.569;300.003600043201;5321.58;100.0004000016;5321.592;0;5321.603;0;5321.603;NaN
83;5321.614;200.0016000128;5321.626;300.003600043201;5321.637;100.0004000016;5321.649;0;5321.649;0
84;5321.66;200.0016000128;5321.672;200.0016000128;5321.683;0;5321.695;0;5321.695;NaN
85;5321.706;200.0016000128;5321.718;300.003600043201;5321.729;100.0004000016;5321.741;0;5321.741;0
86;5321.752;300.003600043201;5321.764;200.0016000128;5321.775;0;5321.787;0;5321.787;NaN
87;5321.798;100.0004000016;5321.809;500.010000200004;5321.821;0;5321.833;100.0004000016;5321.833;NaN
88;5321.844;100.0004000016;5321.855;100.0004000016;5321.867;0;5321.878;0;5321.878;NaN
89;5321.89;100.0004000016;5321.901;200.0016000128;5321.913;100.0004000016;5321.924;0;5321.924;0
90;5321.935;300.003600043201;5321.947;200.0016000128;5321.958;0;5321.97;0;5321.97;NaN
91;5321.981;400.006400102402;5321.993;400.006400102402;5322.004;0;5322.016;0;5322.016;NaN
92;5322.027;200.0016000128;5322.039;0;5322.05;0;5322.062;0;5322.062;NaN
93;5322.073;300.003600043201;5322.085;100.0004000016;5322.096;0;5322.108;0;5322.108;NaN
94;5322.119;100.0004000016;5322.131;100.0004000016;5322.142;0;5322.154;0;5322.154;NaN
95;5322.165;0;5322.176;500.010000200004;5322.188;0;5322.2;0;5322.2;NaN
96;5322.211;400.006400102402;5322.222;100.0004000016;5322.234;0;5322.245;0;5322.245;NaN
97;5322.257;400.006400102402;5322.268;300.003600043201;5322.28;0;5322.291;0;5322.291;NaN
