sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
1;6667.216;56427.0737701303;6667.228;72409.1175314308;6667.239;0;6667.251;0;6667.251;NaN
2;6667.262;58938.6236428079;6667.274;68989.8600949814;6667.285;0;6667.297;0;6667.297;NaN
3;6667.308;56527.5260988791;6667.319;71503.9292060958;6667.331;0;6667.342;0;6667.342;NaN
4;6667.354;52007.9685426946;6667.365;69593.1906973759;6667.377;0;6667.388;0;6667.388;NaN
5;6667.4;53815.5958999932;6667.411;71101.6442631302;6667.423;0;6667.434;0;6667.434;NaN
6;6667.445;58637.211073913;6667.457;67783.2860053585;6667.469;100.0004000016;6667.48;0;6667.48;0
7;6667.491;53313.4510237786;6667.503;65772.5872689938;6667.514;0;6667.526;0;6667.526;NaN
8;6667.537;51807.1371596461;6667.549;71101.6442631302;6667.56;0;6667.572;0;6667.572;NaN
9;6667.583;53715.1653144341;6667.595;67481.6606304171;6667.606;0;6667.618;0;6667.618;NaN
10;6667.629;49799.0004128207;6667.64;71705.0765188439;6667.652;0;6667.663;0;6667.663;NaN
11;6667.675;54518.6325444167;6667.686;68487.1067757112;6667.698;0;6667.709;0;6667.709;NaN
12;6667.721;50903.435781508;6667.732;70598.8062383673;6667.744;0;6667.755;0;6667.755;NaN
13;6667.766;48795.0527627819;6667.778;71101.6442631302;6667.79;0;6667.801;0;6667.801;NaN
14;6667.812;54116.8924877736;6667.824;67883.8294100424;6667.835;0;6667.847;0;6667.847;NaN
15;6667.858;53012.1737596755;6667.87;76835.4237383343;6667.881;0;6667.893;0;6667.893;NaN
16;6667.904;51104.2526754579;6667.916;69090.4131787206;6667.927;0;6667.939;0;6667.939;NaN
17;6667.95;53815.5958999932;6667.961;70196.5503409547;6667.973;0;6667.985;0;6667.985;NaN
18;6667.996;54518.6325444167;6668.007;75024.4732238859;6668.019;0;6668.03;0;6668.03;NaN
19;6668.042;52208.8031457558;6668.053;74722.6735672303;6668.065;0;6668.076;0;6668.076;NaN
20;6668.088;52309.2216548153;6668.099;72207.9589216945;6668.111;0;6668.122;0;6668.122;NaN
21;6668.133;52710.9037414721;6668.145;67582.2016155555;6668.157;0;6668.168;0;6668.168;NaN
22;6668.179;53614.7355340429;6668.191;73515.5475855207;6668.202;0;6668.214;0;6668.214;NaN
23;6668.225;59039.0961104362;6668.237;77237.8927095454;6668.248;0;6668.26;0;6668.26;NaN
24;6668.271;57632.5548762153;6668.283;74420.8811753284;6668.294;0;6668.306;0;6668.306;NaN
25;6668.317;54819.9460419398;6668.328;74320.2853257054;6668.34;0;6668.352;0;6668.352;NaN
26;6668.363;47891.5686793148;6668.374;68386.5585316744;6668.386;0;6668.397;0;6668.397;NaN
27;6668.409;53313.4510237786;6668.42;66677.361782341;6668.432;0;6668.443;0;6668.443;NaN
28;6668.455;50803.0285418829;6668.466;77439.1320397387;6668.478;0;6668.489;0;6668.489;NaN
29;6668.5;54317.7609056434;6668.512;77338.5119709183;6668.524;0;6668.535;0;6668.535;NaN
30;6668.546;52409.640968907;6668.558;69392.077269883;6668.569;100.0004000016;6668.581;0;6668.581;0
31;6668.592;53614.7355340429;6668.604;72509.6980467512;6668.615;0;6668.627;0;6668.627;NaN
32;6668.638;53514.3065588096;6668.65;73213.78425001;6668.661;0;6668.673;0;6668.673;NaN
33;6668.684;59039.0961104362;6668.695;68386.5585316744;6668.707;0;6668.719;0;6668.719;NaN
34;6668.73;53715.1653144341;6668.741;71705.0765188439;6668.753;0;6668.764;0;6668.764;NaN
35;6668.776;50602.2164772841;6668.787;70900.5066327574;6668.799;0;6668.81;0;6668.81;NaN
36;6668.822;55121.2667869313;6668.833;67381.1204517744;6668.845;0;6668.856;0;6668.856;NaN
37;6668.867;52409.640968907;6668.879;71705.0765188439;6668.891;0;6668.902;0;6668.902;NaN
38;6668.913;54116.8924877736;6668.925;66275.2317126482;6668.936;0;6668.948;0;6668.948;NaN
39;6668.959;52309.2216548153;6668.971;75829.3078268684;6668.982;0;6668.994;0;6668.994;NaN
40;6669.005;52208.8031457558;6669.017;73917.9099986761;6669.028;0;6669.04;0;6669.04;NaN
41;6669.051;52510.0610880405;6669.063;67280.5810796177;6669.074;0;6669.086;0;6669.086;NaN
42;6669.097;53012.1737596755;6669.108;66777.8963157853;6669.12;0;6669.132;0;6669.132;NaN
43;6669.143;53614.7355340429;6669.154;73817.3181847359;6669.166;0;6669.177;0;6669.177;NaN
44;6669.189;52510.0610880405;6669.2;72006.8035397662;6669.212;0;6669.223;0;6669.223;NaN
45;6669.234;57431.6333035317;6669.246;68185.4644633403;6669.258;0;6669.269;0;6669.269;NaN
46;6669.28;53413.8783887248;6669.292;65370.4862280828;6669.303;0;6669.315;0;6669.315;NaN
47;6669.326;52811.3262757894;6669.338;63561.1911808346;6669.349;0;6669.361;0;6669.361;NaN
48;6669.372;50100.2004008016;6669.384;68487.1067757112;6669.395;0;6669.407;100.0004000016;6669.407;NaN
49;6669.418;57833.4796710809;6669.43;72811.4444346382;6669.441;0;6669.453;0;6669.453;NaN
50;6669.464;50301.0044168691;6669.475;71101.6442631302;6669.487;0;6669.499;0;6669.499;NaN
51;6669.51;51305.072789072;6669.521;69492.6335802845;6669.533;0;6669.544;0;6669.544;NaN
52;6669.556;55322.1513100927;6669.567;66275.2317126482;6669.579;0;6669.59;0;6669.59;NaN
53;6669.602;58938.6236428079;6669.613;69392.077269883;6669.625;0;6669.636;0;6669.636;NaN
54;6669.647;53514.3065588096;6669.659;73012.6127282647;6669.67;100.0004000016;6669.682;0;6669.682;0
55;6669.693;51003.8438260298;6669.705;62455.6394535182;6669.716;0;6669.728;0;6669.728;NaN
56;6669.739;51305.072789072;6669.751;66375.7630204782;6669.762;0;6669.774;0;6669.774;NaN
57;6669.785;57833.4796710809;6669.796;69794.307351667;6669.808;0;6669.82;0;6669.82;NaN
58;6669.831;54518.6325444167;6669.842;72409.1175314308;6669.854;0;6669.865;0;6669.865;NaN
59;6669.877;57933.9432768561;6669.888;69794.307351667;6669.9;0;6669.911;0;6669.911;NaN
60;6669.923;49899.3996040112;6669.934;65471.0102788483;6669.946;0;6669.957;0;6669.957;NaN
61;6669.969;53213.0244639615;6669.98;69291.5217661617;6669.992;0;6670.003;0;6670.003;NaN
62;6670.014;56728.433172703;6670.026;71503.9292060958;6670.037;0;6670.049;0;6670.049;NaN
63;6670.06;54819.9460419398;6670.072;64867.8780684411;6670.083;0;6670.095;0;6670.095;NaN
64;6670.106;55422.5947796526;6670.118;74420.8811753284;6670.129;0;6670.141;0;6670.141;NaN
65;6670.152;55924.8242076314;6670.164;75024.4732238859;6670.175;0;6670.187;100.0004000016;6670.187;NaN
66;6670.198;55020.8257333103;6670.21;70699.3722296877;6670.221;0;6670.233;0;6670.233;NaN
67;6670.244;55824.3767113128;6670.255;70397.6766761065;6670.267;200.0016000128;6670.278;0;6670.278;0
68;6670.29;46988.1497689666;6670.301;75829.3078268684;6670.313;0;6670.324;0;6670.324;NaN
69;6670.336;59340.5183474468;6670.347;74823.2726455744;6670.359;0;6670.37;0;6670.37;NaN
70;6670.381;52409.640968907;6670.393;73012.6127282647;6670.404;0;6670.416;0;6670.416;NaN
71;6670.427;50301.0044168691;6670.439;65169.4405454181;6670.45;0;6670.462;0;6670.462;NaN
72;6670.473;56929.3434683601;6670.485;67582.2016155555;6670.496;0;6670.508;0;6670.508;NaN
73;6670.519;59039.0961104362;6670.531;66275.2317126482;6670.542;0;6670.554;0;6670.554;NaN
74;6670.565;54217.3262941004;6670.576;73716.727177903;6670.588;0;6670.6;0;6670.6;NaN
75;6670.611;54719.5074041707;6670.622;70699.3722296877;6670.634;0;6670.646;0;6670.646;NaN
76;6670.657;52610.4820122257;6670.668;77942.2444958932;6670.68;0;6670.691;0;6670.691;NaN
77;6670.703;55121.2667869313;6670.714;70799.9390278146;6670.726;0;6670.737;0;6670.737;NaN
78;6670.748;58637.211073913;6670.76;69291.5217661617;6670.771;0;6670.783;0;6670.783;NaN
79;6670.794;55020.8257333103;6670.806;67481.6606304171;6670.817;0;6670.829;0;6670.829;NaN
80;6670.84;53815.5958999932;6670.852;65370.4862280828;6670.863;0;6670.875;0;6670.875;NaN
81;6670.886;53213.0244639615;6670.898;67984.3736212609;6670.909;0;6670.921;0;6670.921;NaN
82;6670.932;51003.8438260298;6670.944;69291.5217661617;6670.955;0;6670.967;0;6670.967;NaN
83;6670.978;54418.1963224123;6670.989;62154.1422728366;6671.001;0;6671.012;0;6671.012;NaN
84;6671.024;58637.211073913;6671.035;70799.9390278146;6671.047;0;6671.058;0;6671.058;NaN
85;6671.07;56728.433172703;6671.081;65873.1145450243;6671.093;0;6671.104;0;6671.104;NaN
86;6671.116;53715.1653144341;6671.127;73515.5475855207;6671.139;0;6671.15;0;6671.15;NaN
87;6671.161;53715.1653144341;6671.173;71202.2142885796;6671.184;100.0004000016;6671.196;0;6671.196;0
88;6671.207;54920.3854849831;6671.219;70498.2410538434;6671.23;0;6671.242;0;6671.242;NaN
89;6671.253;54819.9460419398;6671.265;72207.9589216945;6671.276;0;6671.288;0;6671.288;NaN
90;6671.299;51104.2526754579;6671.31;68587.6558263409;6671.322;0;6671.334;0;6671.334;NaN
91;6671.345;58938.6236428079;6671.356;72207.9589216945;6671.368;0;6671.379;0;6671.379;NaN
92;6671.391;56326.6222468108;6671.402;73012.6127282647;6671.414;0;6671.425;0;6671.425;NaN
93;6671.437;51505.8961224277;6671.448;71604.502459023;6671.46;0;6671.471;0;6671.471;NaN
94;6671.483;51606.3089965329;6671.494;69392.077269883;6671.506;0;6671.517;0;6671.517;NaN
95;6671.528;51606.3089965329;6671.54;72610.2793690528;6671.551;100.0004000016;6671.563;0;6671.563;0
96;6671.574;56527.5260988791;6671.586;73515.5475855207;6671.597;0;6671.609;0;6671.609;NaN
97;6671.62;55422.5947796526;6671.632;71403.3567600526;6671.643;0;6671.655;0;6671.655;NaN
98;6671.666;60244.8285678772;6671.678;73817.3181847359;6671.689;0;6671.701;0;6671.701;NaN
99;6671.712;55723.9300203653;6671.723;70598.8062383673;6671.735;100.0004000016;6671.746;0;6671.746;0
100;6671.758;49497.8076679519;6671.769;72308.5378230818;6671.781;0;6671.792;0;6671.792;NaN
